C_V,n_M,n_V,p_M,p_V,r_M,r_V,R_MV,R_V_subscriber,R_V_retained,R_industry_net,residual_inf,method
120.0,185.0,1189.0,69.52943735865644,2.855162395868417,47.567567567567565,1.0092514718250631,15418.255191170234,3394.7880886875478,839.4788088687549,16257.734000038989,1.1368683772161603e-13,default:least_squares
120.0,186.0,1189.0,69.42674577605509,2.8546736969335833,47.31182795698924,1.0092514718250631,15468.161037434873,3394.2070256540305,839.4207025654031,16307.581740000276,4.547473508864641e-13,default:least_squares
120.0,187.0,1189.0,69.32316153576564,2.854172676060617,47.05882352941177,1.0092514718250631,15517.681387840641,3393.6113118360736,839.3611311836073,16357.042519024248,2.8421709430404007e-13,default:least_squares
120.0,188.0,1189.0,69.21847536902663,2.8536584511126413,46.80851063829787,1.0092514718250631,15566.773277912645,3392.9998983729306,839.2999898372931,16406.073267749936,4.547473508864641e-13,default:least_squares
120.0,189.0,1189.0,69.1124261201634,2.8531300154704913,46.56084656084656,1.0092514718250631,15615.382966265857,3392.371588394414,839.2371588394415,16454.6201251053,2.2737367544323206e-13,default:least_squares
120.0,190.0,1189.0,69.00468131764619,2.852586209309119,46.31578947368421,1.0092514718250631,15663.441952934463,3391.7250028685426,839.1725002868543,16502.61445322132,1.1368683772161603e-13,default:least_squares
120.0,191.0,1189.0,68.89480766034114,2.852025681045118,46.073298429319365,1.0092514718250631,15710.86094441154,3391.058534762645,839.1058534762645,16549.966797887802,2.2737367544323206e-13,default:least_squares
120.0,192.0,1189.0,68.78222437057885,2.8514468342366257,45.83333333333333,1.0092514718250631,15757.520336467753,3390.370285907348,839.0370285907347,16596.55736505849,2.2737367544323206e-13,default:least_squares
120.0,193.0,1189.0,68.66612582851333,2.8508477521340945,45.59585492227979,1.0092514718250631,15803.254464461768,3389.6579772874384,838.9657977287438,16642.220262190513,2.2737367544323206e-13,default:least_squares
120.0,194.0,1189.0,68.54534533777641,2.85022608629492,45.360824742268036,1.0092514718250631,15847.823930472818,3388.9188166046597,838.891881660466,16686.715812133283,8.526512829121202e-14,default:least_squares
120.0,195.0,1189.0,68.41809610771517,2.8495788840097225,45.12820512820513,1.0092514718250631,15890.863104783264,3388.14929308756,838.8149293087561,16729.67803409202,2.2737367544323206e-13,default:least_squares
120.0,196.0,1189.0,68.28142582217114,2.8489023034946745,44.897959183673464,1.0092514718250631,15931.769816115197,3387.344838855168,838.7344838855167,16770.504300000714,2.2737367544323206e-13,default:least_squares
120.0,197.0,1189.0,68.12989004854525,2.848191101228268,44.670050761421315,1.0092514718250631,15969.437636987783,3386.4992193604107,838.6499219360411,16808.087558923824,4.547473508864641e-13,default:least_squares
120.0,198.0,1189.0,67.95152040636002,2.847437582323231,44.44444444444444,1.0092514718250631,16001.443997303373,3385.6032853823217,838.5603285382322,16840.004325841604,2.2737367544323206e-13,default:least_squares
120.0,199.0,1188.0,67.70028621433329,2.849026570023563,44.22110552763819,1.01010101010101,16018.536165321519,3384.643565187993,838.4643565187994,16857.000521840317,5.684341886080802e-14,default:least_squares
